Picklist Code,Slot No.,Sale Order Item Code,Shipping Package Code,Sale Order Code,Item SkuCode,Item Type Name,Shelf Code,Picklist Created By,Item Status,Picklist Status,Created,Updated
PK537,1,VKAMGRILL137-3,VKMU04620,4MSLGWKP,VKAMGRILL137,Autofy Black Plastic Grill for Royal Enfield Bullet Classic 350 & 500 (Set of 8),U-02-06-03,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-5,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMLOCK0008-10,VKMU04620,4MSLGWKP,VKAMLOCK0008,Autofy 4 Digit Universal Multi Purpose Steel Cable with Black Rubber Coating for Cycles Bikes Helmet Luggage (Black and Orange),L-02-05-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMMASK0004-6,VKMU04620,4MSLGWKP,VKAMMASK0004,Autofy Unisex Grey & Red West Coast Choppers Headwrap / Bandana (Freesize),L-02-02-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMMASK0068-0,VKMU04620,4MSLGWKP,VKAMMASK0068,[GarlandSkull-CrossBoneSkull-Blue-Purple]Autofy Unisex Skull Print Lycra Headwrap / Bandana (Blue and Purple  Freesize),L-01-04-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMLIGHT0037-37,VKMU04620,4MSLGWKP,VKAMLIGHT0037,Autofy Blue Universal Tyre Motion LED with Sensors for Motocycles  Bicycles  Scooters and Cars All Models (Set of 2),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-10,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMEMBLEM0001-1,VKMU04620,4MSLGWKP,VKAMEMBLEM0001,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),L-02-09-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMLIGHT0037-62,VKMU04620,4MSLGWKP,VKAMLIGHT0037,Autofy Blue Universal Tyre Motion LED with Sensors for Motocycles  Bicycles  Scooters and Cars All Models (Set of 2),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMMASK0060-17,VKMU04620,4MSLGWKP,VKAMMASK0060,[Baleor-WildFire-Black-Green]Autofy Unisex Wildfire Print Lycra Headwrap / Bandana (Black and Green  Freesize),L-02-05-02,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-14,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-11,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMMASK0068-5,VKMU04620,4MSLGWKP,VKAMMASK0068,[GarlandSkull-CrossBoneSkull-Blue-Purple]Autofy Unisex Skull Print Lycra Headwrap / Bandana (Blue and Purple  Freesize),L-01-04-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-13,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMLIGHT0081-2,VKMU04620,4MSLGWKP,VKAMLIGHT0081,[3Leg-Silver-White-White-Headlight] Autofy Universal 2 LED Headlight for All Bikes (White Light),L-02-04-03,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMLIGHT0037-33,VKMU04620,4MSLGWKP,VKAMLIGHT0037,Autofy Blue Universal Tyre Motion LED with Sensors for Motocycles  Bicycles  Scooters and Cars All Models (Set of 2),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
PK537,1,VKAMBRUSH0001-15,VKMU04620,4MSLGWKP,VKAMBRUSH0001,Autofy Universal Motorcycle / Cycle Chain Cleaner Brush (for All Bikes),L-01-01-01,jitendra.singh@vendorskart.com,CREATED,CREATED,2017-05-29 15:41:27,2017-05-29 15:41:27
