Picklist Code,Slot No.,Sale Order Item Code,Shipping Package Code,Sale Order Code,Item SkuCode,Item Type Name,Shelf Code,Picklist Created By,Item Status,Picklist Status,Created,Updated
PK536,1,23722069151,VKMU04670,23722069151,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,2,36762211455571,VKMU04671,405-9311447-3022737,99HW11002_B_XS,99Hunts Solid Women's Fashion Neck T-Shirt,99HSHELF,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,3,23723022073,VKMU04672,23723022073,VKAMLIGHT0025,Autofy M6 LED Universal Headlight for All Bikes,U-01-01-03,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,4,96468726,VKMU04673,117203808,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,5,109029734,VKMU04674,117202799,VKAMMASK0030,Autofy Half Face Anti Pollution / Dust / Driving / Anti Sun & Heat Face Mask with Neck Veil,L-02-02-01,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,6,30054481931155,VKMU04675,404-8171883-5767544,VKAMMASK0199,[Camouflage-Green-Black-White] Autofy Unisex Camouflage Print Lycra Headwrap Bandana for Bikes (Black and White  Freesize),L-02-03-03,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,7,109029734,VKMU04676,117212956,VKAMMASK0030,Autofy Half Face Anti Pollution / Dust / Driving / Anti Sun & Heat Face Mask with Neck Veil,L-02-02-01,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,8,101391725,VKMU04677,117215574,VKAMMASK0027,Autofy Unisex Black Half Skull Print Headwrap / Bandana (Freesize)[Black-White-Half-Skull-RedFlames],L-01-11-01,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,9,96468726,VKMU04678,117218381,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
PK536,10,109029734,VKMU04679,117234247,VKAMMASK0030,Autofy Half Face Anti Pollution / Dust / Driving / Anti Sun & Heat Face Mask with Neck Veil,L-02-02-01,jitendra.singh@vendorskart.com,RECEIVED,CLOSED,2017-05-29 12:49:29,2017-05-29 13:03:28
