Category Code,Product Code,Name,Description,Scan Identifier,Requires Customization,Length (mm),Width (mm),Height (mm),Weight (gms),EAN,UPC,ISBN,Color,Size,Brand,Item Detail Fields,Tags,Image Url,Product Page Url,Tax Type Code,Base Price,Cost Price,MRP,Updated,Category Name,Enabled,Type,TAT,Component Product Code,Component Quantity,Component Price,Virtual Inventory
VK_AU,BCAMLOCK0003,Autofy Button Remote Key Universal Anti-Theft Alarm System for All Bikes,,B01KLP0LGG,FALSE,1,1,1,1,1,SDL043892601,CHINA SEC COMPANY,Multi colour,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/BCAMLOCK0003/1.jpg,,DEFAULT,,,1999,01/04/2017 11:23,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLIGHT0001,HRU U2 Chrome colour Universal Projector Fog Light for All Bikes,B01KLP0LIE,B01KLP0LIE,FALSE,1,1,1,1,1,SDL590708177,LED Company China,Chrome,China,HRU,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0001/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0001/,DEFAULT,,,999,06/04/2017 11:19,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMUSB0001,Autofy Black Universal Mobile USB Charger for All Bikes,B01KLP0RN8,B01KLP0RN8,FALSE,1,1,1,1,1,SDL753491450,Autofy-Porado-India,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMUSB0001/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMUSB0001/,DEFAULT,,,599,18/03/2017 13:34,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,B01KLP0LES,B01KLP0LES,FALSE,1,1,1,1,1,SDL508696986,Security Company China,Black,China,HRU,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0001/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0001/,DEFAULT,,,1999,29/05/2017 15:34,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMSWITCH_TOGGLE,TOGGLE SWITCH,,VKAMSWITCH_TOGGLE,FALSE,1,1,1,1,1,,Autofy-India,Dummy Red,India,Autofy,,,DEFAULT,,DEFAULT,,,,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,PGBSY00002-00,HRU My Bike Combo- DEFAULT,,PGBSY00002-00,FALSE,1,1,1,1,,,,,,,,,,,,,,,08/08/2016 16:05,Vendorskart_Automotive,TRUE,BUNDLE,,VKAMLIGHT0001,2,240,0
VK_AU,PGBSY00002-00,HRU My Bike Combo- DEFAULT,,PGBSY00002-00,FALSE,1,1,1,1,,,,,,,,,,,,,,,08/08/2016 16:05,Vendorskart_Automotive,TRUE,BUNDLE,,VKAMUSB0001,1,110,0
VK_AU,PGBSY00002-00,HRU My Bike Combo- DEFAULT,,PGBSY00002-00,FALSE,1,1,1,1,,,,,,,,,,,,,,,08/08/2016 16:05,Vendorskart_Automotive,TRUE,BUNDLE,,VKAMSWITCH_TOGGLE,1,8,0
VK_AU,VKAMLIGHT0005,HRU Dual Angel Ring COB LED Universal Projector Fog Light for All Bikes,B01KLP0RTW,B01KLP0RTW,FALSE,1,1,1,1,1,SDL923881803,LED Company China,Blue & Red,China,HRU,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0005/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0005/,DEFAULT,,,1999,07/02/2017 12:43,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMHORN0001,Autofy  Bolex Windtone Black Universal Horn for All Bikes (Set of 2),B01KLP0RWE,B01KLP0RWE,FALSE,1,1,1,1,Set of 2,SDL366150446,Autofy - India,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHORN0001/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMHORN0001/,DEFAULT,,,599,21/02/2017 11:21,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLIGHT0007_Red-Red,Autofy Red LED Universal Strobe Lights for All Bikes (Set of 2),B01KLP0RQK,B01KLP0RQK,FALSE,1,1,1,1,1,,LED Company China,Red,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0007_Red-Red/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLIGHT0007_Red-Red/,DEFAULT,,,499,02/06/2017 12:48,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLOCK0006,[HRU-DiscLock-Black] Autofy Universal Disc Brake Lock For Two Wheelers (Black),1 Disc Lock,B0725CHCWD,FALSE,100,500,10,200,,,,Black,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0006/MAIN.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0006/,DEFAULT,,,499,08/05/2017 15:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMLOCK0002,Autofy Long Key Universal Anti-Theft Alarm System for All Bikes,B01KLP0LBG,B01KLP0LBG,FALSE,1,1,1,1,1,SDL613787816,Security Company China,Black,China,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0002/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMLOCK0002/,DEFAULT,,,1599,28/01/2017 14:14,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAM2P2_0001,Two Plus Two Normal,,VKAM2P2_0001,FALSE,1,1,1,1,Set of 2,,Autofy - India,Dummy Red,India,Autofy,,,,,,,,,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMCHROME_SWIFT,HRU Fog Lamp Bezel Chrome for Maruti Suzuki Swift (Set of 2),B01KLP22L8,B01KLP22L8,FALSE,1,1,1,1,Set of 2,SDL718394021,Autofy - India,Chrome,India,HRU,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCHROME_SWIFT/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCHROME_SWIFT/,,,,799,07/02/2017 17:35,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
VK_AU,VKAMCHROME_MAESTRO,Autofy Headlight Tail Light Indicator Plate Chrome for Hero Maestro (Set of 3),B01KLP22XQ,B01KLP22XQ,FALSE,1,1,1,1,Set,SDL319116693,Autofy - India,Dummy Red,India,Autofy,,,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCHROME_MAESTRO/1.jpg,http://sparrow.vendorskart.com/photos/VendorskartProductImages/VKAMCHROME_MAESTRO/,,,,1299,04/01/2017 19:10,Vendorskart_Automotive,TRUE,SIMPLE,,,,,0
