Picklist Code,Slot No.,Sale Order Item Code,Shipping Package Code,Sale Order Code,Item SkuCode,Item Type Name,Shelf Code,Picklist Created By,Item Status,Picklist Status,Created,Updated
PK570,1,96468726,VKMU04968,118078227,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,2,3570621145,VKMU04969,3353992168,VKAMMASK0143,[PixelatedCamouflage-Green-Brown] Autofy Unisex Pixelated Camouflage Print Lycra Headwrap Bandana for Bikes (Green & Brown  Freesize),L-02-03-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,3,96468726,VKMU04970,118084930,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,4,3571456464,VKMU04971,3354776563,VKAMMASK0026,Autofy Unisex Red Che Guevara Headwrap / Bandana (Freesize)[Red-Black-Yellow-CheGuevara],L-02-03-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,5,1937937766901800,VKMU04972,OD109379377669018000,VKAMEMBLEM0001,Autofy Chrome Colour Jaguar Universal Emblem for All Bikes (Set of 2),L-02-09-01,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,6,96468726,VKMU04973,118104740,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,7,1937997664604400,VKMU04974,OD109379976646044000,VKAMLOCK0004,Autofy Designer Key Talking Universal Anti-Theft Alarm System for All Bikes,L-02-04-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,8,1938028794387200,VKMU04977,OD109380287943872000,VKAMMASK0030,Autofy Half Face Anti Pollution / Dust / Driving / Anti Sun & Heat Face Mask with Neck Veil,L-02-02-01,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,9,20405687124075,VKMU04975,402-9448957-6886759,VKAMLIGHT155,Autofy Universal Highway LED Indicator Flasher / Auxiliary or LED Fog Light Flasher for LED Indicators (Blue 25 Patterns / Modes),U-01-01-01,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,10,101391725,VKMU04978,118112437,VKAMMASK0027,Autofy Unisex Black Half Skull Print Headwrap / Bandana (Freesize)[Black-White-Half-Skull-RedFlames],L-02-02-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,11,96468726,VKMU04979,118114342,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,12,96468726,VKMU04980,118120812,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,13,96468726,VKMU04981,118120603,VKAMLOCK0001,HRU Flip-Folding Key Universal Anti-Theft Alarm System for All Bikes,L-01-11-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
PK570,14,1933184819698501,VKMU04982,OD109331848196985000,VKAMLIGHT0099,[M6-Black-HJG] Autofy Universal M6 HJG LED Headlight for All Bikes (with Fan),L-02-10-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-09 10:14:44,2017-06-09 10:33:28
