Picklist Code,Slot No.,Sale Order Item Code,Shipping Package Code,Sale Order Code,Item SkuCode,Item Type Name,Shelf Code,Picklist Created By,Item Status,Picklist Status,Created,Updated
PK578,1,VKAMHELMET0006-0,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-13-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-43,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-12-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-62,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,U-02-12-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-33,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-13-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-32,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-13-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-103,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-11-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-54,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-11-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-61,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-12-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-83,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,U-02-12-03,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-65,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,U-02-13-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-74,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-13-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-56,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,U-02-12-02,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
PK578,1,VKAMHELMET0006-59,VKMU04983,7V4198PF,VKAMHELMET0006,Autofy Habsolite Ecco Black & Grey Star Front Open Helmet,L-02-12-04,raju.paswan@vendorskart.com,RECEIVED,CLOSED,2017-06-10 14:22:04,2017-06-12 13:03:28
