PO,Vendor,Ordered On,Warehouse,Total Quantity,Total Cost,
2PA4M59A,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",2965,"INR 771,399.39",
31JH29EC,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",2135,"INR 552,205.82",
4TF1GXDZ,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",701,"INR 538,508.08",
2FPJGSIA,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",778,"INR 175,014.76",
8OT8839D,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",1227,"INR 506,071.95",
45IL3LIM,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",1595,"INR 621,497.45",
8QDMT14D,VEQGU,7/4/2017,"HYD7 - Hyderabad, Telangana",1507,"INR 377,109.19",
5GEGSUCH,VEQGU,7/4/2017,"DEL3 - Sonipat, Haryana",5236,"INR 402,306.32",
3DF1EKQU,VEQGU,7/4/2017,"BOM3 - Bhiwandi, Maharashtra",5128,"INR 261,572.73",
43TLASAO,VEQGU,7/4/2017,"BLR5 - Bangalore, Karnataka",5281,"INR 417,006.14",
2CTT84SV,VEQGU,18/4/2017,"DEL3 - Sonipat, Haryana",315,"INR 144,347.09",
5XWH83KP,VEQGU,19/4/2017,"DEL3 - Sonipat, Haryana",949,"INR 254,298.80",
5DUVPNLJ,VEQGU,19/4/2017,"DEL3 - Sonipat, Haryana",949,"INR 254,298.80",
2QAKF5SV,VEQGU,24/4/2017,"BLR5 - Bangalore, Karnataka",2239,"INR 299,666.25",
1GHY6FMA,VEQGU,25/4/2017,"BOM3 - Bhiwandi, Maharashtra",106,"INR 42,092.84",
5NSP61PZ,VEQGU,9/5/2017,"DEL3 - Sonipat, Haryana",50,"INR 24,745.01",
4BMR3ZTS,VEQGU,15/5/2017,"BOM3 - Bhiwandi, Maharashtra",396,"INR 172,329.86",
7V2AEZOF,VEQGU,15/5/2017,"BLR5 - Bangalore, Karnataka",185,"INR 78,604.80",
5BKEVAOE,VEQGU,15/5/2017,"DEL3 - Sonipat, Haryana",309,"INR 122,832.30",
1GJESQCJ,VEQGU,16/5/2017,"BOM3 - Bhiwandi, Maharashtra",630,"INR 170,248.64",
4MSLGWKP,VEQGU,16/5/2017,"BLR5 - Bangalore, Karnataka",741,"INR 184,214.59",
7V4198PF,VEQGU,16/5/2017,"HYD7 - Hyderabad, Telangana",442,"INR 126,138.33",
78VVZWFH,VEQGU,16/5/2017,"DEL3 - Sonipat, Haryana",494,"INR 144,035.75",
8S1CT1HL,VEQGU,19/5/2017,"BOM3 - Bhiwandi, Maharashtra",1168,"INR 578,975.29",
4G8KT1QV,VEQGU,19/5/2017,"BOM3 - Bhiwandi, Maharashtra",297,"INR 474,864.41",
65Q6N9MV,VEQGU,22/5/2017,"BLR5 - Bangalore, Karnataka",3384,"INR 1,140,583.62",
2YIKVDCI,VEQGU,22/5/2017,"BOM3 - Bhiwandi, Maharashtra",3302,"INR 1,046,443.29",
1VUA4MIY,VEQGU,22/5/2017,"DEL3 - Sonipat, Haryana",2815,"INR 1,035,623.32",
13SJ2SNS,VEQGU,22/5/2017,"HYD7 - Hyderabad, Telangana",1014,"INR 334,524.21",
22N1RIDT,VEQGU,23/5/2017,"DEL3 - Sonipat, Haryana",149,"INR 19,102.60",
2FW552TX,VEQGU,23/5/2017,"BOM3 - Bhiwandi, Maharashtra",85,"INR 8,330.73",
7V6UJ2AT,VEQGU,23/5/2017,"BLR5 - Bangalore, Karnataka",74,"INR 5,118.28",
1YLMPZ5Q,VEQGU,30/5/2017,"BLR5 - Bangalore, Karnataka",276,"INR 35,214.43",
1RNSWFGL,VEQGU,30/5/2017,"BOM3 - Bhiwandi, Maharashtra",248,"INR 43,193.42",
1MVITR3Y,VEQGU,30/5/2017,"DEL3 - Sonipat, Haryana",235,"INR 32,536.12",
3GCJE7MK,VEQGU,30/5/2017,"HYD7 - Hyderabad, Telangana",123,"INR 22,181.81",
4UPYYI4A,VEQGU,6/6/2017,"DEL4 - Gurgaon, Haryana",503,"INR 109,798.01",
8Q87XPEU,VEQGU,8/6/2017,"DEL4 - Gurgaon, Haryana",1960,"INR 258,586.60",
7U83644N,VEQGU,8/6/2017,"DEL4 - Gurgaon, Haryana",1634,"INR 631,406.34",
2GINX7ZN,VEQGU,8/6/2017,"BOM4 - Thane, Maharashtra",1219,"INR 497,303.24",
68QHGVSM,VEQGU,12/6/2017,"DEL4 - Gurgaon, Haryana",1678,"INR 532,357.16",
6YHJCZTX,VEQGU,12/6/2017,"BOM3 - Bhiwandi, Maharashtra",1946,"INR 558,568.07",
12ASYWBP,VEQGU,12/6/2017,"HYD7 - Hyderabad, Telangana",844,"INR 190,889.73",
4FMJLGOE,VEQGU,12/6/2017,"BLR5 - Bangalore, Karnataka",2557,"INR 639,920.55",
